season,holiday,workingday,weather,temp,atemp,humidity,windspeed,count,year,month,day,hour,dayofweek
1,0,0,1,0.22448979591836735,0.30506768094865194,0.81,0.0,16,2011,1,1,0,5
1,0,0,1,0.20408163265306123,0.2880635417831972,0.8,0.0,40,2011,1,1,1,5
1,0,0,1,0.20408163265306123,0.2880635417831972,0.8,0.0,32,2011,1,1,2,5
1,0,0,1,0.22448979591836735,0.30506768094865194,0.75,0.0,13,2011,1,1,3,5
1,0,0,1,0.22448979591836735,0.30506768094865194,0.75,0.0,1,2011,1,1,4,5
1,0,0,2,0.22448979591836735,0.2711712719543573,0.75,0.10532502644880687,1,2011,1,1,5,5
1,0,0,1,0.20408163265306123,0.2880635417831972,0.8,0.0,2,2011,1,1,6,5
1,0,0,1,0.18367346938775508,0.2711712719543573,0.86,0.0,3,2011,1,1,7,5
1,0,0,1,0.22448979591836735,0.30506768094865194,0.75,0.0,8,2011,1,1,8,5
1,0,0,1,0.3061224489795918,0.3728604989372413,0.76,0.0,14,2011,1,1,9,5
1,0,0,1,0.36734693877551017,0.42364917776037586,0.76,0.2982249911837311,36,2011,1,1,10,5
1,0,0,1,0.3469387755102041,0.35585635977178653,0.81,0.33337251675091106,56,2011,1,1,11,5
1,0,0,1,0.4081632653061224,0.45754558675467055,0.77,0.33337251675091106,84,2011,1,1,12,5
1,0,0,2,0.4489795918367347,0.4914419957489652,0.72,0.35088750440813454,94,2011,1,1,13,5
1,0,0,2,0.4489795918367347,0.4914419957489652,0.72,0.33337251675091106,106,2011,1,1,14,5
1,0,0,2,0.42857142857142855,0.47454972592012523,0.77,0.35088750440813454,110,2011,1,1,15,5
1,0,0,2,0.4081632653061224,0.45754558675467055,0.8200000000000001,0.35088750440813454,93,2011,1,1,16,5
1,0,0,2,0.42857142857142855,0.47454972592012523,0.8200000000000001,0.33337251675091106,67,2011,1,1,17,5
1,0,0,3,0.4081632653061224,0.45754558675467055,0.88,0.2982249911837311,35,2011,1,1,18,5
1,0,0,3,0.4081632653061224,0.45754558675467055,0.88,0.2982249911837311,37,2011,1,1,19,5
1,0,0,2,0.38775510204081626,0.4406533169258306,0.87,0.2982249911837311,36,2011,1,1,20,5
1,0,0,2,0.38775510204081626,0.4406533169258306,0.87,0.22804749030210417,34,2011,1,1,21,5
1,0,0,2,0.38775510204081626,0.4406533169258306,0.9400000000000001,0.2631950158692842,28,2011,1,1,22,5
1,0,0,2,0.4489795918367347,0.4914419957489652,0.88,0.35088750440813454,39,2011,1,1,23,5
1,0,0,2,0.4489795918367347,0.4914419957489652,0.88,0.35088750440813454,17,2011,1,2,0,6
